Los Angeles, California Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
194501,52.7
194502,54.1
194503,52.3
194504,56.4
194505,59.5
194506,62.5
194507,66.8
194508,68.8
194509,67.9
194510,63.8
194511,56.4
194512,53.9
194601,53.5
194602,50.8
194603,54.4
194604,58.1
194605,59.5
194606,64.6
194607,67.3
194608,67.6
194609,67.9
194610,60.9
194611,56.0
194612,53.5
194701,50.5
194702,56.2
194703,57.9
194704,59.7
194705,61.8
194706,65.0
194707,66.4
194708,67.1
194709,67.3
194710,62.9
194711,55.5
194712,53.9
194801,53.7
194802,51.9
194803,52.5
194804,58.4
194805,59.9
194806,62.7
194807,65.0
194808,65.6
194809,65.5
194810,61.7
194811,57.6
194812,51.5
194901,45.8
194902,50.1
194903,53.1
194904,59.1
194905,61.1
194906,65.7
194907,66.1
194908,67.2
194909,66.3
194910,61.4
194911,62.0
194912,52.0
195001,47.3
195002,52.4
195003,54.5
195004,58.5
195005,58.5
195006,61.6
195007,67.6
195008,64.6
195009,64.8
195010,63.8
195011,60.1
195012,57.8
195101,52.8
195102,52.1
195103,55.7
195104,57.1
195105,59.1
195106,63.3
195107,67.4
195108,66.1
195109,66.2
195110,64.6
195111,59.5
195112,52.8
195201,51.1
195202,55.6
195203,52.9
195204,57.0
195205,61.1
195206,61.7
195207,64.5
195208,67.0
195209,66.6
195210,62.1
195211,56.9
195212,54.1
195301,57.6
195302,56.2
195303,55.1
195304,55.9
195305,60.8
195306,62.8
195307,69.1
195308,65.5
195309,64.1
195310,64.0
195311,60.1
195312,55.4
195401,52.3
195402,59.5
195403,53.9
195404,57.1
195405,59.7
195406,63.1
195407,69.9
195408,68.9
195409,65.9
195410,60.7
195411,60.7
195412,55.7
195501,50.0
195502,53.3
195503,57.4
195504,57.0
195505,59.1
195506,62.0
195507,65.3
195508,68.6
195509,68.5
195510,60.3
195511,57.7
195512,53.7
195601,52.7
195602,50.8
195603,56.9
195604,56.8
195605,61.1
195606,64.4
195607,66.5
195608,67.3
195609,68.2
195610,62.9
195611,64.0
195612,56.9
195701,52.0
195702,57.2
195703,57.1
195704,57.3
195705,60.4
195706,66.7
195707,69.5
195708,70.0
195709,66.2
195710,63.4
195711,57.3
195712,58.0
195801,56.6
195802,57.4
195803,55.1
195804,61.8
195805,63.6
195806,66.1
195807,67.2
195808,70.6
195809,70.0
195810,69.3
195811,59.3
195812,58.4
195901,56.8
195902,53.8
195903,60.2
195904,61.6
195905,61.6
195906,65.9
195907,71.4
195908,71.1
195909,70.0
195910,65.4
195911,62.8
195912,57.3
196001,52.3
196002,54.3
196003,57.7
196004,60.7
196005,63.7
196006,64.6
196007,68.4
196008,68.1
196009,68.8
196010,63.6
196011,57.2
196012,54.4
196101,58.3
196102,57.8
196103,56.8
196104,59.5
196105,59.8
196106,64.0
196107,70.1
196108,69.1
196109,67.1
196110,64.7
196111,58.0
196112,53.0
196201,55.0
196202,52.7
196203,52.6
196204,59.5
196205,60.5
196206,62.2
196207,65.0
196208,68.6
196209,66.7
196210,63.6
196211,58.7
196212,55.6
196301,54.2
196302,60.1
196303,55.5
196304,56.3
196305,61.8
196306,64.6
196307,67.7
196308,69.9
196309,73.5
196310,66.9
196311,60.7
196312,56.9
196401,54.2
196402,55.0
196403,54.9
196404,57.1
196405,57.4
196406,61.1
196407,65.8
196408,68.4
196409,65.7
196410,66.0
196411,57.9
196412,54.1
196501,54.6
196502,54.2
196503,56.4
196504,57.5
196505,59.5
196506,61.8
196507,64.7
196508,70.5
196509,67.0
196510,68.4
196511,59.5
196512,54.1
196601,52.6
196602,51.9
196603,56.5
196604,60.7
196605,62.5
196606,65.6
196607,66.8
196608,69.9
196609,67.4
196610,65.2
196611,60.1
196612,55.4
196701,54.3
196702,57.5
196703,56.6
196704,52.5
196705,61.6
196706,61.6
196707,68.3
196708,71.5
196709,70.3
196710,67.3
196711,62.9
196712,53.9
196801,54.8
196802,59.2
196803,58.3
196804,59.7
196805,61.0
196806,64.6
196807,66.7
196808,66.9
196809,67.0
196810,63.7
196811,60.1
196812,52.7
196901,55.4
196902,52.3
196903,54.8
196904,58.7
196905,61.5
196906,63.9
196907,67.5
196908,69.4
196909,65.6
196910,64.5
196911,62.7
196912,57.2
197001,55.3
197002,59.1
197003,57.8
197004,57.8
197005,61.7
197006,64.1
197007,67.1
197008,67.8
197009,67.6
197010,64.5
197011,59.6
197012,54.4
197101,53.9
197102,55.1
197103,55.2
197104,57.2
197105,59.8
197106,63.1
197107,67.9
197108,72.7
197109,69.3
197110,63.4
197111,57.7
197112,51.2
197201,52.4
197202,55.3
197203,58.2
197204,59.9
197205,62.5
197206,65.5
197207,68.8
197208,71.2
197209,68.2
197210,64.8
197211,58.6
197212,55.2
197301,53.0
197302,56.9
197303,53.9
197304,58.5
197305,60.8
197306,65.1
197307,66.4
197308,67.5
197309,66.0
197310,64.1
197311,57.9
197312,56.8
197401,52.7
197402,55.9
197403,55.0
197404,58.1
197405,61.3
197406,65.1
197407,69.0
197408,68.0
197409,67.4
197410,64.4
197411,61.1
197412,54.2
197501,55.2
197502,54.0
197503,54.1
197504,55.1
197505,59.5
197506,62.9
197507,67.3
197508,66.7
197509,68.6
197510,63.8
197511,59.0
197512,56.0
197601,58.4
197602,56.3
197603,56.8
197604,56.4
197605,61.6
197606,66.4
197607,68.5
197608,67.7
197609,68.8
197610,67.6
197611,64.3
197612,58.5
197701,56.0
197702,59.0
197703,54.5
197704,59.5
197705,59.6
197706,63.5
197707,67.0
197708,69.3
197709,67.1
197710,64.7
197711,63.1
197712,59.4
197801,57.0
197802,56.7
197803,60.5
197804,57.6
197805,63.9
197806,66.0
197807,66.2
197808,68.2
197809,72.1
197810,66.7
197811,57.4
197812,52.7
197901,53.0
197902,52.6
197903,55.9
197904,58.6
197905,62.0
197906,67.6
197907,66.8
197908,69.4
197909,72.2
197910,64.5
197911,59.5
197912,59.0
198001,58.1
198002,59.7
198003,56.7
198004,59.0
198005,58.5
198006,64.1
198007,67.1
198008,69.3
198009,65.5
198010,64.6
198011,60.9
198012,58.6
198101,57.9
198102,59.0
198103,56.5
198104,59.6
198105,63.2
198106,70.3
198107,70.1
198108,69.7
198109,68.0
198110,63.7
198111,60.5
198112,57.8
198201,53.0
198202,57.5
198203,56.0
198204,58.6
198205,60.9
198206,62.0
198207,67.7
198208,69.8
198209,70.0
198210,67.6
198211,59.6
198212,54.8
198301,57.3
198302,55.8
198303,56.2
